num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,2,12,1,2,23,1,19,0,0,19,0,0,0,1,0,"[2, 'K', 3, 8]","['A', 8]"
4,3,13,1,2,18,0,16,1,1,19,0,0,0,1,0,"[3, 'K', 'A', 4]","['J', 6, 3]"
4,7,15,0,0,15,0,14,1,1,24,1,1,0,0,0,"[7, 8]","[4, 'K', 'Q']"
4,10,19,0,0,19,0,7,1,2,22,1,1,0,0,0,"[10, 9]","[4, 3, 'K', 5]"
4,7,17,0,0,17,0,11,1,2,22,1,1,0,0,0,"[7, 'J']","[4, 7, 'A', 'Q']"
4,7,11,1,2,25,1,14,1,1,19,0,0,0,1,0,"[7, 4, 4, 'J']","[3, 'A', 5]"
4,4,12,1,1,22,1,20,0,0,20,0,0,0,1,0,"[4, 8, 'Q']","[10, 'J']"
4,5,8,0,0,8,0,7,1,2,26,1,1,0,0,0,"[5, 3]","[2, 5, 'Q', 9]"
4,10,13,1,1,21,0,15,1,1,21,0,0,1,0,0,"['K', 3, 8]","['A', 4, 6]"
4,3,8,0,0,8,0,17,1,1,24,1,1,0,0,0,"[3, 5]","[7, 'Q', 7]"
4,6,8,1,3,23,1,14,1,2,20,0,0,0,1,0,"[6, 2, 4, 'A', 'Q']","['A', 3, 'J', 6]"
4,1,21,0,0,21,0,13,0,0,13,0,1,0,0,0,"['A', 10]","['K', 3]"
4,4,14,0,0,14,0,13,1,2,25,1,1,0,0,0,"[4, 10]","[8, 5, 2, 'J']"
4,3,14,1,1,18,0,9,1,2,21,0,0,0,1,0,"[3, 'A', 4]","[3, 6, 8, 4]"
4,4,10,1,2,25,1,10,1,1,20,0,0,0,1,0,"[4, 6, 6, 9]","[2, 8, 'Q']"
4,10,17,0,0,17,0,13,1,2,20,0,0,0,1,0,"['K', 7]","[6, 7, 4, 3]"
4,10,16,0,0,16,0,12,1,1,22,1,1,0,0,0,"[10, 6]","[9, 3, 'K']"
4,10,21,0,0,21,0,12,0,0,12,0,1,0,0,0,"['K', 'A']","[4, 8]"
4,7,16,0,0,16,0,12,1,2,26,1,1,0,0,0,"[7, 9]","['Q', 2, 5, 9]"
4,1,21,0,0,21,0,12,0,0,12,0,1,0,0,0,"['A', 'Q']","[8, 4]"
4,1,14,1,2,17,0,11,1,1,21,0,0,0,1,0,"['A', 3, 3, 10]","[5, 6, 'Q']"
4,7,12,1,1,19,0,17,1,1,21,0,0,0,1,0,"[7, 5, 7]","[9, 8, 4]"
4,4,6,1,2,24,1,12,1,2,20,0,0,0,1,0,"[4, 2, 8, 10]","[5, 7, 2, 6]"
4,10,16,0,0,16,0,12,1,1,22,1,1,0,0,0,"['Q', 6]","[2, 'J', 'J']"
4,2,13,1,2,17,0,19,0,0,19,0,0,0,1,0,"[2, 'A', 4, 'J']","['J', 9]"
4,10,14,0,0,14,0,18,1,1,28,1,1,0,0,0,"['Q', 4]","[8, 'K', 'J']"
4,7,17,0,0,17,0,8,1,3,22,1,1,0,0,0,"[7, 'J']","[3, 5, 7, 'A', 6]"
4,5,8,0,0,8,0,18,1,1,28,1,1,0,0,0,"[5, 3]","['J', 8, 'Q']"
4,5,9,1,2,21,0,20,0,0,20,0,1,0,0,0,"[5, 4, 2, 'J']","['K', 'K']"
4,5,11,1,3,20,0,20,0,0,20,0,0,1,0,0,"[5, 6, 'A', 'A', 7]","[10, 'J']"
4,3,13,1,2,25,1,14,1,1,19,0,0,0,1,0,"[3, 'K', 2, 'Q']","[10, 4, 5]"
4,10,14,0,0,14,0,12,1,1,22,1,1,0,0,0,"['J', 4]","['A', 'A', 'Q']"
4,9,19,0,0,19,0,20,0,0,20,0,0,0,1,0,"[9, 'K']","['A', 9]"
4,8,12,1,2,22,1,12,1,1,21,0,0,0,1,0,"[8, 4, 'A', 9]","[2, 'K', 9]"
