,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
0,"9,K","9,K","5,4","5,4,7",0,0,4,1,9,19,19,0,0,9,16,1,0,0
1,"Q,2","Q,2,K","4,5","4,5,9",1,0,4,0,10,12,22,1,1,9,18,1,0,1
2,"A,8","A,8","8,5","8,5,J",1,0,4,0,1,19,19,0,0,13,23,1,1,0
3,"9,8","9,8","5,4","5,4,6",1,0,4,0,9,17,17,0,0,9,15,1,0,0
4,"9,A","9,A","J,2","J,2",0,0,4,1,9,20,20,0,0,12,12,0,0,0
5,"5,9","5,9","2,J","2,J,Q",1,0,4,1,5,14,14,0,0,12,22,1,1,0
6,"J,9","J,9","4,3","4,3,6",1,0,4,1,10,19,19,0,0,7,13,1,0,0
7,"9,8","9,8","7,2","7,2,4",1,0,4,0,9,17,17,0,0,9,13,1,0,0
8,"6,9","6,9","4,4","4,4,7,8",1,0,4,0,6,15,15,0,0,8,23,1,1,0
9,"6,Q","6,Q","10,5","10,5,7",0,0,4,0,6,16,16,0,0,15,22,1,1,0
10,"2,7","2,7,A","K,K","K,K",1,0,4,0,2,9,20,1,0,20,20,0,0,0
11,"A,4","A,4,7,8","3,9","3,9,A,7",1,0,4,1,1,15,20,1,0,12,20,1,0,0
12,"A,Q","A,Q","4,8","4,8",0,0,4,1,1,21,21,0,0,12,12,0,0,0
13,"K,J","K,J","J,6","J,6",1,0,4,1,10,20,20,0,0,16,16,0,0,0
14,"8,3","8,3,7","8,4","8,4",1,0,4,1,8,11,18,1,0,12,12,0,0,0
15,"7,6","7,6","3,7","3,7,6,8",0,0,4,0,7,13,13,0,0,10,24,1,1,0
16,"J,7","J,7","J,5","J,5",0,0,4,1,10,17,17,0,0,15,15,0,0,0
17,"3,K","3,K,3,7","Q,9","Q,9",0,0,4,0,3,13,23,1,1,19,19,0,0,1
18,"A,A","A,A","9,3","9,3,A,2,Q",1,0,4,1,1,12,12,0,0,12,25,1,1,0
19,"10,2","10,2,A,7","3,Q","3,Q",1,0,4,1,10,12,20,1,0,13,13,0,0,0
20,"J,2","J,2,9","8,Q","8,Q",1,0,4,1,10,12,21,1,0,18,18,0,0,0
21,"2,4","2,4","7,A","7,A,Q,4",0,0,4,1,2,6,6,0,0,18,22,1,1,0
22,"8,10","8,10","8,2","8,2,6,10",0,0,4,0,8,18,18,0,0,10,26,1,1,0
23,"7,2","7,2,2,8","5,5","5,5,6",1,0,4,0,7,9,19,1,0,10,16,1,0,0
24,"10,J","10,J","2,6","2,6,7",0,0,4,1,10,20,20,0,0,8,15,1,0,0
25,"3,A","3,A","8,6","8,6,9",1,1,4,1,3,14,14,0,0,14,23,1,1,0
26,"3,A","3,A,7","8,5","8,5,7",1,1,4,1,3,14,21,1,0,13,20,1,0,0
27,"2,8","2,8,9","6,4","6,4,2,3",0,0,4,1,2,10,19,1,0,10,15,1,0,0
28,"4,9","4,9,5","6,2","6,2,2,3,6",0,0,4,1,4,13,18,1,0,8,19,1,0,1
29,"5,7","5,7","5,7","5,7,6,K",1,0,4,0,5,12,12,0,0,12,28,1,1,0
30,"10,K","10,K","5,A","5,A",1,0,4,1,10,20,20,0,0,16,16,0,0,0
31,"5,A","5,A,A,7,8","5,6","5,6,Q",1,0,4,1,5,16,22,1,1,11,21,1,0,1
32,"4,Q","4,Q","6,8","6,8,A,8",1,0,4,1,4,14,14,0,0,14,23,1,1,0
33,"2,K","2,K,2,9","A,6","A,6,2",0,0,4,0,2,12,23,1,1,17,19,1,0,1
