d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks
"2,10","2,10","Q,7","Q,7,Q",1,0,4
"7,J","7,J","4,A","4,A",1,0,4
"3,9","3,9","6,7","6,7,Q",1,0,4
"6,7","6,7,6","7,3","7,3,Q",0,1,4
"6,7","6,7,6","7,J","7,J",0,1,4
"K,4","K,4,A,J","Q,2","Q,2",0,0,4
"A,2","A,2","8,7","8,7,7",0,0,4
"4,4","4,4,5,7","Q,Q","Q,Q",1,0,4
"7,J","7,J","4,10","4,10",1,0,4
"4,6","4,6","7,7","7,7,2,6",1,0,4
"8,5","8,5","7,6","7,6,5,10",0,0,4
"8,8","8,8,3","3,8","3,8,9",1,0,4
"J,5","J,5,10","Q,10","Q,10",0,0,4
"9,5","9,5,7","4,3","4,3,8",0,0,4
"6,K","6,K,6","3,2","3,2,9",0,0,4
"5,3","5,3","5,Q","5,Q,10",1,0,4
"7,7","7,7,6","10,J","10,J",1,0,4
"3,6","3,6","A,4","A,4,10,A,7",1,0,4
"6,7","6,7","10,2","10,2,4,K",1,0,4
"J,2","J,2,8","7,4","7,4,K",0,0,4
"K,8","K,8","4,Q","4,Q",1,0,4
"8,5","8,5,K","10,3","10,3",1,0,4
"Q,K","Q,K","7,J","7,J",1,0,4
"3,Q","3,Q","4,9","4,9,4,K",1,0,4
"4,3","4,3,7,K","3,4","3,4,2,6,A,5",1,0,4
"J,J","J,J","J,8","J,8",0,0,4
"J,8","J,8","A,8","A,8",0,0,4
"Q,8","Q,8","7,4","7,4,9",1,0,4
"8,8","8,8,9","4,5","4,5,3",1,0,4
"2,K","2,K","2,6","2,6,7,8",1,0,4
"10,7","10,7","5,8","5,8",1,0,4
"7,A","7,A","2,7","2,7,4,5",0,0,4
"A,6","A,6,10","9,J","9,J",0,0,4
"A,6","A,6,Q","3,J","3,J",0,0,4
"9,5","9,5,2,6","K,9","K,9",1,0,4
"8,J","8,J","2,9","2,9,3",1,0,4
"A,9","A,9","9,6","9,6,K",0,0,4
"K,6","K,6,J","5,9","5,9",0,0,4
"3,7","3,7,10","5,9","5,9,8",0,1,4
"3,7","3,7,10","5,5","5,5,3",0,1,4
"2,7","2,7,7,J","9,K","9,K",1,0,4
"5,K","5,K","6,A","6,A,9,6",0,0,4
"10,J","10,J","3,8","3,8,3",0,0,4
"J,3","J,3,4","Q,4","Q,4",1,0,4
"2,9","2,9,4,A,K","2,9","2,9,Q",1,0,4
"7,Q","7,Q","6,3","6,3,6",1,0,4
"8,5","8,5,8","J,J","J,J",1,0,4
"5,4","5,4","7,J","7,J,10",1,0,4
"8,10","8,10","6,10","6,10",0,0,4
"J,K","J,K","K,4","K,4,A",0,0,4
"9,9","9,9","6,5","6,5,J",1,0,4
"10,5","10,5","8,K","8,K,4",0,0,4
"6,6","6,6","2,A","2,A,2,8,3,Q",1,0,4
"6,A","6,A,5,Q","7,8","7,8",0,0,4
"2,5","2,5,2,7,Q","K,5","K,5",0,0,4
"Q,9","Q,9","K,7","K,7",0,0,4
"2,7","2,7","J,A","J,A",0,0,4
"A,6","A,6,6,J","J,4","J,4",0,0,4
"A,2","A,2,2,4","7,2","7,2,8",0,0,4
"10,7","10,7","6,8","6,8",1,0,4
"6,K","6,K","4,5","4,5,2,5,9",1,0,4
"5,7","5,7","7,6","7,6,5,8",1,0,4
"Q,5","Q,5","10,7","10,7,10",0,0,4
"7,8","7,8,9","10,10","10,10",0,0,4
"4,5","4,5","3,5","3,5,10,9",0,0,4
"7,6","7,6,2,J","5,Q","5,Q,5",0,0,4
"2,Q","2,Q,Q","2,A","2,A",0,0,4
"7,3","7,3,J","2,7","2,7,K",0,0,4
"Q,K","Q,K","2,5","2,5,10",0,0,4
"6,9","6,9,4","8,4","8,4",0,0,4
"3,9","3,9,3,A,A","2,6","2,6,Q",0,0,4
"9,6","9,6,K","4,Q","4,Q",0,0,4
"8,3","8,3,6","8,7","8,7",0,0,4
"A,5","A,5","K,7","K,7,Q",1,0,4
"8,J","8,J","K,4","K,4",1,0,4
"3,3","3,3","4,2","4,2,6,10",0,0,4
"10,10","10,10","4,6","4,6,6",0,0,4
"A,J","A,J","Q,9","Q,9",0,0,4
"9,8","9,8","3,10","3,10",0,0,4
"5,A","5,A,3","J,J","J,J",1,0,4
"9,4","9,4,J","Q,3","Q,3",1,0,4
"4,K","4,K,6","J,2","J,2,7",0,0,4
"9,4","9,4,2,5","6,4","6,4,K",0,0,4
"A,7","A,7","A,9","A,9",1,0,4
"10,K","10,K","2,9","2,9,Q",0,0,4
"6,4","6,4","8,J","8,J,J",1,0,4
"3,A","3,A,J,J","8,5","8,5,7",0,0,4
"J,4","J,4","10,7","10,7,Q",0,0,4
"10,2","10,2,A,3,A","5,Q","5,Q",0,0,4
"4,8","4,8,2,K","Q,5","Q,5",0,0,4
"K,J","K,J","6,9","6,9",1,0,4
"2,J","2,J,3,Q","J,2","J,2",0,0,4
"2,5","2,5,8,9","J,3","J,3,8",0,0,4
"8,10","8,10","3,K","3,K",1,0,4
"Q,J","Q,J","4,6","4,6,2,6,6",0,0,4
"10,7","10,7","3,6","3,6,Q",0,0,4
