dealer_busts,player_busts,player_loses,draw,player_wins
12,48,53,8,39
13,48,57,8,35
16,45,52,5,43
18,48,55,7,38
7,47,57,10,33
7,48,58,10,32
10,57,63,5,32
13,51,59,5,36
15,52,61,5,34
12,47,59,6,35
14,42,53,5,42
9,45,57,9,34
9,51,60,8,32
19,46,60,4,36
9,42,55,12,33
22,35,45,5,50
15,51,61,8,31
14,41,57,7,36
12,51,59,6,35
14,52,59,9,32
15,45,57,7,36
14,51,58,5,37
17,51,57,7,36
8,45,54,8,38
13,52,60,4,36
9,45,57,13,30
12,49,53,8,39
9,54,59,11,30
16,47,55,6,39
15,45,53,4,43
11,52,61,6,33
13,48,59,10,31
11,47,55,8,37
15,45,58,5,37
11,48,54,7,39
15,36,48,2,50
18,45,52,4,44
14,51,64,7,29
11,48,57,8,35
11,47,57,8,35
10,50,58,7,35
9,47,62,9,29
13,40,52,7,41
9,47,60,9,31
16,47,55,10,35
13,44,58,7,35
14,42,51,12,37
12,40,49,8,43
9,48,60,8,32
18,46,55,8,37
13,35,53,8,39
18,40,48,5,47
16,50,58,5,37
6,50,62,6,32
10,45,57,6,37
9,37,47,9,44
13,48,58,14,28
12,52,60,8,32
12,46,53,3,44
10,52,60,2,38
17,53,64,3,33
13,43,55,8,37
17,44,51,3,46
12,50,58,6,36
10,58,64,5,31
17,46,62,2,36
11,46,61,8,31
12,47,61,4,35
17,49,58,7,35
11,46,53,8,39
15,52,60,7,33
12,50,58,9,33
14,47,58,4,38
9,48,55,5,40
13,42,62,4,34
11,54,62,8,30
12,46,58,6,36
13,52,59,7,34
11,40,55,11,34
10,46,63,4,33
15,40,53,7,40
15,42,55,2,43
15,40,50,6,44
11,50,60,11,29
15,44,53,9,38
13,50,58,5,37
13,54,61,8,31
12,54,66,2,32
16,51,56,7,37
15,44,56,12,32
7,44,54,7,39
14,47,56,11,33
8,54,61,9,30
14,43,59,7,34
18,46,53,5,42
8,48,61,12,27
24,38,42,9,49
12,52,58,4,38
6,52,61,6,33
16,48,53,7,40
12,45,53,8,39
14,45,54,5,41
11,48,58,7,35
9,53,63,6,31
10,59,67,6,27
10,51,58,9,33
8,53,61,9,30
19,41,53,11,36
18,45,52,9,39
10,55,67,5,28
14,46,57,8,35
11,40,50,9,41
11,55,63,6,31
11,51,62,10,28
15,47,63,10,27
13,47,58,8,34
14,52,62,5,33
16,36,54,11,35
5,53,60,5,35
12,52,66,7,27
15,49,61,5,34
14,52,61,8,31
12,47,56,6,38
13,43,53,9,38
14,47,56,7,37
10,47,57,8,35
7,58,72,5,23
12,46,58,4,38
11,53,66,5,29
11,48,61,12,27
15,40,53,10,37
19,36,48,10,42
13,46,54,10,36
16,46,54,7,39
13,51,59,4,37
8,46,57,4,39
14,48,55,7,38
16,43,50,7,43
15,49,61,8,31
14,47,55,8,37
9,51,57,4,39
13,45,56,10,34
13,49,60,3,37
17,40,52,10,38
12,46,56,10,34
19,45,51,7,42
8,44,51,9,40
14,41,52,8,40
12,50,61,4,35
13,46,56,11,33
16,47,54,9,37
9,52,58,9,33
12,45,51,8,41
11,53,64,3,33
18,37,44,4,52
10,54,64,5,31
16,55,61,7,32
13,49,59,6,35
14,57,67,5,28
12,47,54,14,32
12,48,57,9,34
10,45,59,7,34
9,41,50,8,42
17,42,53,9,38
22,37,45,5,50
8,48,56,9,35
5,48,58,9,33
11,45,59,6,35
9,45,60,5,35
15,45,54,3,43
13,48,60,8,32
16,40,51,6,43
12,48,61,5,34
11,41,48,9,43
12,44,50,14,36
12,45,61,7,32
17,48,55,7,38
10,55,66,5,29
16,43,53,7,40
14,54,59,5,36
13,38,51,8,41
14,41,55,2,43
12,36,45,7,48
13,43,50,6,44
16,41,52,9,39
11,48,60,6,34
13,46,54,11,35
10,44,54,7,39
20,48,57,5,38
10,53,63,8,29
12,46,62,5,33
14,48,60,4,36
22,32,42,11,47
14,53,61,7,32
9,50,66,3,31
15,47,61,3,36
19,40,52,7,41
15,48,57,6,37
16,54,60,4,36
12,48,60,6,34
16,41,48,12,40
17,49,56,3,41
10,47,57,10,33
7,45,50,13,37
16,48,56,6,38
9,52,58,5,37
10,41,53,11,36
15,45,56,8,36
15,47,57,9,34
15,61,66,4,30
8,54,60,9,31
13,49,66,5,29
16,43,54,5,41
14,48,59,7,34
19,42,51,8,41
12,46,57,5,38
16,39,50,4,46
10,54,62,7,31
17,43,49,10,41
13,50,55,7,38
18,42,48,5,47
11,50,57,10,33
16,44,52,6,42
19,43,54,4,42
13,53,62,6,32
13,47,57,12,31
15,50,59,8,33
11,45,60,8,32
16,39,51,7,42
12,46,62,1,37
9,53,61,7,32
11,43,52,8,40
12,45,56,8,36
9,51,59,8,33
15,52,59,9,32
5,45,59,10,31
15,43,55,8,37
13,43,49,9,42
11,51,63,7,30
10,55,68,5,27
12,39,50,13,37
13,49,59,5,36
10,47,59,5,36
15,42,50,7,43
9,48,56,7,37
15,49,59,10,31
14,55,68,0,32
14,44,55,6,39
14,56,66,5,29
5,54,61,6,33
13,48,59,10,31
15,43,52,14,34
14,52,62,12,26
13,43,52,8,40
18,45,53,7,40
15,50,58,7,35
9,45,54,9,37
9,50,62,6,32
11,51,60,7,33
6,53,62,7,31
22,43,52,5,43
17,40,50,12,38
16,50,58,6,36
15,47,52,13,35
16,55,62,3,35
10,48,56,5,39
12,46,63,3,34
10,51,62,10,28
13,42,50,11,39
20,47,57,2,41
10,45,55,10,35
11,56,67,5,28
13,41,51,4,45
11,45,52,8,40
7,52,58,6,36
