dealer_busts,player_busts,player_loses,draw,player_wins
17,11,56,7,37
26,9,44,9,47
25,14,53,11,36
22,14,51,8,41
21,13,57,4,39
29,9,48,6,46
18,16,59,8,33
23,13,50,8,42
29,17,50,7,43
25,17,55,3,42
24,15,53,5,42
22,9,56,7,37
22,13,60,6,34
21,12,56,7,37
21,8,46,8,46
25,10,54,6,40
17,14,53,10,37
15,16,58,6,36
19,16,58,9,33
18,11,57,5,38
23,12,49,7,44
20,11,55,8,37
30,10,50,6,44
19,10,51,7,42
20,16,52,9,39
22,21,57,6,37
15,18,56,13,31
30,11,50,7,43
26,9,47,4,49
20,13,51,10,39
20,9,54,8,38
26,11,46,8,46
27,12,52,5,43
26,17,53,7,40
12,12,56,9,35
29,11,42,5,53
30,10,53,3,44
17,16,54,4,42
16,9,54,11,35
26,10,37,10,53
22,9,54,8,38
18,9,56,10,34
21,16,60,8,32
20,13,59,3,38
17,13,58,5,37
17,14,56,9,35
30,19,43,7,50
21,8,45,15,40
25,10,53,9,38
28,8,45,8,47
23,9,52,8,40
22,13,57,3,40
21,16,47,10,43
22,14,55,6,39
30,14,45,6,49
27,13,56,6,38
20,15,57,7,36
17,11,56,8,36
22,8,46,12,42
21,9,51,10,39
18,16,49,10,41
23,17,56,5,39
27,15,47,8,45
15,18,61,9,30
23,12,55,7,38
27,9,51,6,43
24,7,49,8,43
22,15,51,7,42
29,10,52,6,42
21,16,56,8,36
26,6,47,9,44
20,15,53,8,39
21,10,48,10,42
19,15,49,10,41
25,10,48,3,49
20,12,50,9,41
26,9,47,10,43
19,18,56,4,40
22,13,50,10,40
22,14,55,8,37
23,13,51,6,43
25,11,50,9,41
20,17,59,5,36
27,9,54,5,41
23,16,55,6,39
18,14,48,9,43
17,17,61,5,34
20,14,57,5,38
22,13,54,10,36
24,15,56,5,39
28,11,47,7,46
24,14,53,5,42
28,7,47,7,46
28,16,49,4,47
25,13,50,4,46
33,15,43,9,48
17,18,55,9,36
26,13,50,11,39
23,11,54,7,39
29,14,51,9,40
19,13,59,5,36
21,11,58,5,37
19,13,49,6,45
27,10,56,4,40
27,17,54,2,44
30,10,46,7,47
21,18,58,6,36
21,9,43,9,48
22,11,53,6,41
20,10,56,7,37
19,11,57,3,40
21,12,51,6,43
21,10,52,10,38
18,11,62,4,34
22,8,47,9,44
23,15,50,8,42
28,15,46,6,48
24,8,49,5,46
22,6,42,12,46
22,16,60,7,33
19,13,57,6,37
18,12,63,1,36
20,13,48,8,44
23,11,55,6,39
18,11,58,10,32
29,11,49,6,45
20,10,57,7,36
24,12,49,9,42
25,13,50,8,42
19,13,56,6,38
21,15,47,12,41
26,10,54,6,40
32,7,48,5,47
23,8,57,8,35
30,9,54,4,42
30,9,49,5,46
26,13,52,6,42
22,11,56,5,39
27,9,48,6,46
18,12,53,10,37
28,5,45,7,48
24,15,53,5,42
24,15,49,6,45
21,10,53,13,34
21,9,51,6,43
23,12,62,3,35
28,10,53,7,40
19,17,57,10,33
23,11,56,6,38
29,10,47,10,43
21,5,47,12,41
22,13,56,7,37
19,10,59,6,35
21,15,48,10,42
25,11,58,4,38
27,15,43,5,52
28,13,51,6,43
23,9,49,8,43
20,15,53,10,37
25,12,59,8,33
23,11,53,8,39
26,16,50,5,45
17,9,54,12,34
30,9,48,6,46
20,15,52,8,40
22,11,55,7,38
30,12,43,6,51
25,17,52,5,43
19,10,58,6,36
29,6,47,7,46
20,9,54,11,35
27,7,48,8,44
37,3,42,9,49
20,11,51,12,37
21,7,48,8,44
27,8,53,5,42
19,18,61,6,33
26,13,45,7,48
18,13,55,7,38
17,11,62,7,31
24,9,51,6,43
23,15,50,9,41
23,8,53,4,43
18,15,53,6,41
18,14,54,8,38
22,18,48,5,47
23,15,47,10,43
29,16,44,13,43
24,11,52,8,40
22,13,62,6,32
19,11,57,4,39
17,12,55,11,34
22,16,55,12,33
22,12,51,8,41
23,7,43,10,47
19,12,57,8,35
19,11,48,15,37
22,8,51,11,38
20,11,54,4,42
20,15,55,8,37
19,12,54,6,40
30,11,42,9,49
20,11,45,10,45
24,14,49,8,43
24,10,49,8,43
19,15,58,7,35
14,18,60,5,35
31,8,40,8,52
34,7,40,7,53
28,8,51,7,42
25,11,52,7,41
26,19,54,4,42
21,15,51,4,45
28,18,50,4,46
30,20,50,1,49
14,13,57,9,34
25,14,54,6,40
23,14,54,5,41
29,21,50,7,43
26,9,56,3,41
21,6,47,10,43
24,16,51,5,44
18,19,56,10,34
24,16,59,6,35
27,12,47,9,44
15,9,53,12,35
29,15,45,8,47
19,19,54,10,36
26,8,41,7,52
19,12,55,10,35
20,12,56,6,38
33,6,42,14,44
24,15,50,11,39
14,14,57,8,35
33,6,46,8,46
19,12,60,6,34
25,9,52,5,43
25,10,53,8,39
24,11,52,8,40
22,12,54,8,38
30,5,43,7,50
16,9,52,12,36
28,13,46,7,47
21,9,47,14,39
